TOKEN	NE-COARSE-LIT
FROM	O
A	O
VIRGINIA	B-loc
PAPER	O
.	O
To	O
his	O
EXCELLENCY	O
the	O
GOVERNOR	O
GINIA	O
.	O
NEW	B-loc
-	I-loc
YORK	I-loc
,	O
SEPT	B-time
.	I-time
28	I-time
,	I-time
1780	I-time
.	O
SIR	O
,	O
W	O
E	O
have	O
long	O
waited	O
in	O
anxious	O
expectations	O
,	O
of	O
having	O
it	O
in	O
our	O
power	O
to	O
tranlinit	O
effec	O
¬	O
tual	O
Amendments	O
to	O
the	O
Conftitution	O
of	O
the	O
Uni	B-loc
¬	I-loc
ted	I-loc
Stares	I-loc
,	O
and	O
it	O
is	O
with	O
grief	O
that	O
we	O
now	O
fend	O
forward	O
propolitions	O
inadequate	O
to	O
the	O
purpofe	O
of	O
real	O
and	O
fubftantial	O
Amendments	O
,	O
and	O
fo	O
far	O
fhort	O
of	O
the	O
wiihes	O
of	O
our	O
country	O
.	O
By	O
perufing	O
the	O
Journal	B-prod
of	I-prod
the	I-prod
Senate	I-prod
,	O
your	O
Excellency	O
will	O
fee	O
,	O
that	O
we	O
did	O
,	O
in	O
vain	O
,	O
bring	O
to	O
view	O
the	O
Amend	O
¬	O
ments	O
propofed	O
by	O
our	O
Convention	O
,	O
and	O
approv	O
¬	O
ed	O
by	O
the	O
Legiflature	O
.	O
We	O
fltall	O
tranfmit	O
a	O
com	O
¬	O
plete	O
let	O
of	O
the	O
Journals	O
of	O
both	O
Houfes	O
of	O
Con	O
-	O
grefsto	O
your	O
addrefs	O
,	O
which	O
with	O
a	O
letter	O
accom	O
panying	O
them	O
,	O
we	O
entreat	O
your	O
Excellency	O
will	O
have	O
the	O
gaodnefs	O
to	O
lay	O
before	O
the	O
Honorable	O
Legillature	O
of	O
the	O
enfuing	O
meeting	O
.	O
We	O
have	O
the	O
honor	O
,	O
of	O
every	O
(	O
entiment	O
of	O
rc	O
-	O
fpeCt	O
,	O
to	O
be	O
,	O
Sir	O
,	O
your	O
Excellency	O
’	O
s	O
moft	O
obedient	O
,	O
and	O
very	O
humble	O
fervants	O
,	O
RICHARD	B-pers
HENRY	I-pers
LEE	I-pers
WILLIAM	B-pers
GRAYSON	I-pers
.	O
PRESIDENT	B-pers
SULL	I-pers
IVAN	I-pers
’	O
s	O
MESSAGE	O
.	O
To	O
the	O
Hon	O
.	O
Senate	B-org
and	O
House	B-org
^	I-org
/	I-org
'	I-org
Represen	I-org
¬	I-org
tatives	I-org
,	O
[	O
0	O
/	O
New	B-loc
-	I-loc
Hampshire	I-loc
.	O
]	O
Gentlemen	O
,	O
H	O
HVING	O
been	O
informed	O
,	O
that	O
doubts	O
have	O
a	O
-	O
rifen	O
iu	O
the	O
minds	O
of	O
fome	O
,	O
whether	O
my	O
hav	O
¬	O
ing	O
accepted	O
the	O
office	O
of	O
Diftricft	O
Judge	O
has	O
not	O
difqualified	O
me	O
from	O
aefling	O
as	O
Prefident	O
of	O
the	O
State	O
,	O
until	O
a	O
new	O
election	O
takes	O
place	O
,	O
I	O
confefs	O
that	O
1	O
have	O
never	O
been	O
able	O
to	O
difcover	O
any	O
in	O
¬	O
compatibility	O
in	O
the	O
two	O
offices	O
.	O
But	O
as	O
fome	O
have	O
attempted	O
to	O
prove	O
this	O
by	O
urging	O
the	O
words	O
of	O
aConflitution	O
framed	O
for	O
thepurpofe	O
of	O
efta	O
-	O
blifhing	O
over	O
the	O
people	O
of	O
New	B-loc
-	I-loc
Humpfhire	I-loc
a	O
free	O
,	O
fovereign	O
and	O
independent	O
government	O
—	O
1	O
mull	O
obferve	O
,	O
that	O
this	O
govennent	O
has	O
[	O
nice	O
been	O
changed	O
by	O
the	O
voice	O
of	O
the	O
people	O
,	O
who	O
have	O
agreed	O
that	O
their	O
fafety	O
depended	O
on	O
their	O
relinquifhuig	O
many	O
of	O
the	O
powers	O
retained	O
by	O
the	O
people	O
in	O
that	O
Conflitution	O
,	O
to	O
a	O
General	O
Government	O
eflabl	O
'	O
fbed	O
for	O
the	O
people	O
of	O
each	O
and	O
every	O
State	O
who	O
fnould	O
adopt	O
it	O
;	O
which	O
to	O
themwai	O
to	O
become	O
the	O
general	O
law	O
of	O
the	O
land	O
.	O
The	O
people	O
of	O
this	O
State	O
did	O
,	O
in	O
the	O
moff	O
folemn	O
manner	O
,	O
a	O
dipt	O
arid	O
ratify	O
that	O
Conflitution	O
;	O
and	O
from	O
that	O
e	O
-	O
vent	O
,	O
this	O
ceased	O
to	O
be	O
a	O
free	O
,	O
sovereign	O
,	O
andindependent	O
state	O
;	O
and	O
upon	O
my	O
being	O
elcdled	O
to	O
the	O
office	O
of	O
Prefident	O
,	O
I	O
was	O
only	O
fworn	O
to	O
perform	O
and	O
fulfil	O
the	O
duties	O
incumbent	O
on	O
me	O
as	O
Prefident	O
of	O
a	O
free	O
and	O
confederate	O
State	O
;	O
and	O
I	O
was	O
at	O
or	O
near	O
the	O
fame	O
time	O
fworn	O
to	O
fupport	O
the	O
Confti	O
union	O
of	O
the	O
United	B-loc
States	I-loc
,	O
by	O
virtue	O
ofalaw	O
enacted	O
by	O
yourfelves	O
.	O
I	O
was	O
appointed	O
under	O
that	O
Conflitution	O
which	O
the	O
people	O
of	O
New	B-loc
-	I-loc
Hampffiire	I-loc
had	O
adopted	O
for	O
themfelves	O
,	O
a	O
Judge	O
of	O
the	O
Federal	B-org
Court	I-org
.	O
My	O
own	O
inclinations	O
were	O
far	O
from	O
leading	O
me	O
to	O
wifh	O
to	O
continue	O
in	O
both	O
offices	O
;	O
but	O
I	O
was	O
put	O
in	O
by	O
the	O
people	O
,	O
and	O
could	O
not	O
devife	O
a	O
way	O
of	O
re	O
-	O
figning	O
the	O
truft	O
committed	O
to	O
me	O
,	O
but	O
into	O
the	O
hands	O
who	O
honoured	O
me	O
with	O
it	O
.	O
I	O
well	O
knew	O
that	O
the	O
time	O
for	O
electing	O
a	O
new	O
Prefident	O
was	O
near	O
at	O
hand	O
,	O
when	O
the	O
people	O
might	O
have	O
an	O
op	O
¬	O
portunity	O
of	O
declaring	O
who	O
fhould	O
prefide	O
over	O
them	O
;	O
and	O
all	O
the	O
public	O
papers	O
having	O
been	O
en	O
-	O
trufted	O
to	O
my	O
care	O
,	O
and	O
the	O
affairs	O
of	O
the	O
State	O
un	O
¬	O
folded	O
to	O
me	O
,	O
I	O
could	O
not	O
,	O
without	O
an	O
unpardona	O
-	O
ble	O
breach	O
of	O
truft	O
,	O
negleifl	O
to	O
lay	O
them	O
before	O
you	O
.	O
I	O
alfo	O
confidered	O
,	O
that	O
while	O
I	O
was	O
living	O
in	O
the	O
State	O
,	O
no	O
other	O
perfon	O
could	O
,	O
by	O
your	O
own	O
laws	O
,	O
adminilter	O
the	O
neceffary	O
oaths	O
to	O
you	O
,	O
to	O
qualify	O
you	O
to	O
aeft	O
as	O
Legifiators	O
,	O
while	O
the	O
time	O
for	O
which	O
I	O
was	O
chofen	O
was	O
not	O
expired	O
;	O
and	O
as	O
I	O
knew	O
that	O
this	O
would	O
probably	O
be	O
the	O
laft	O
feflion	O
of	O
this	O
Court	O
,	O
for	O
the	O
prefent	O
year	O
;	O
and	O
I	O
had	O
no	O
inclination	O
to	O
propofe	O
myfelf	O
as	O
a	O
candidate	O
for	O
another	O
—	O
I	O
concluded	O
delicacy	O
would	O
have	O
pre	O
¬	O
vented	O
fome	O
perfons	O
from	O
purfuing	O
the	O
methods	O
they	O
have	O
adopted	O
,	O
for	O
gratifying	O
a	O
fpirit	O
which	O
ought	O
never	O
to	O
lodge	O
itfelf	O
in	O
the	O
branch	O
of	O
a	O
Legifla	O
-	O
ture	O
.	O
Gentlemen	O
,	O
You	O
will	O
fee	O
the	O
fituation	O
I	O
am	O
in	O
,	O
and	O
may	O
eafily	O
conceive	O
of	O
my	O
feelings	O
upon	O
this	O
fubjeeft	O
,	O
being	O
brought	O
forward	O
,	O
at	O
every	O
opportunity	O
,	O
to	O
fa	O
’	O
-	O
tiate	O
that	O
fpirit	O
which	O
has	O
often	O
,	O
before	O
this	O
fejjion	O
of	O
the	O
Court	O
,	O
difplayed	O
itfelf	O
before	O
me	O
,	O
and	O
ufed	O
every	O
effort	O
againfl	O
me	O
.	O
The	O
Prefident	O
and	O
Senate	B-org
of	I-org
the	I-org
United	I-org
